lat,lon,sst,NO3,O2,PP,density_WOA_clim,PO4,phosphate_WOA_clim,NH4_darwin_clim,Fe,sss,prochloro_abundance,prochloro_abundance_prediction
-1.4980325386159885,-1.9028501840799525,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980421611011936,-1.9028501840799525,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980517835863985,-1.9028501840799525,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980614060716035,-1.9029119469162565,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980710285568084,-1.9029119469162565,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980806510420135,-1.902942828334413,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980902735272184,-1.902942828334413,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4980998960124234,-1.902942828334413,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4981095184976283,-1.9029737097525692,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4981191409828334,-1.9030045911707256,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4981383859532436,-1.903035472588882,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4981480084384484,-1.9030663540070383,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4981672534088584,-1.9030972354251947,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4981768758940635,-1.9030972354251947,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4981864983792683,-1.9031281168433511,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4982057433496783,-1.9031589982615074,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
-1.4982153658348834,-1.903189879679655,1.1232001857975817,-0.8923123408237047,-1.1662709184246105,-1.23900947510207,-1.3751216511759696,-0.8260986500059856,-0.7332070596134389,0.40726137070480756,1.2807351612329292,1.0325551588562247,0.0,60.277685517934366
