time,lat,lon,depth,MIT9313PCR_Chisholm,MIT9313PCR_Chisholm_std,TQPCR_MED4_MIT9312_MIT9211_NATL2A_SS120_MIT9313_Chisholm,TQPCR_MED4_MIT9312_MIT9211_NATL2A_SS120_MIT9313_Chisholm_std,MIT9312PCR_Chisholm,MIT9312PCR_Chisholm_std,MED4PCR_Chisholm,MED4PCR_Chisholm_std,NATL2APCR_Chisholm,NATL2APCR_Chisholm_std,SS120PCR_Chisholm,SS120PCR_Chisholm_std,sbact_Chisholm,sbact_Chisholm_std,temp_C_AMT13,temp_C_AMT13_std,Light_Quanta_m2_sec_AMT13,Light_Quanta_m2_sec_AMT13_std,chlA_AMT13,chlA_AMT13_std,nitrate_WOA_clim,nitrate_WOA_clim_std,phosphate_WOA_clim,phosphate_WOA_clim_std,silicate_WOA_clim,silicate_WOA_clim_std
2003-09-19T10:53:00.000Z,33.493,-22.108,32.63,1.0,,138361.6963757,,95418.7025,,42917.44,,23.3193775,,0.2344982,,0.01873333333333333,,22.4521,,20.35539,,0.020928903,,0.008913514669984579,0.0014246036508832052,0.04409670643508434,0.0014175855420616333,0.7308831214904785,0.028230633482172997
2003-09-19T10:53:00.000Z,33.493,-22.108,57.561,1.0,,148319.50085,,74899.3275,,72926.32,,490.85335,,1.0,,0.02346666666666667,,20.0825,,9.316157,,0.040030557,,0.051718661561608315,0.026654170126293484,0.03917607106268406,0.001206967203340568,0.8030992448329926,0.027783160391532835
2003-09-19T10:53:00.000Z,33.493,-22.108,72.948,0.6832705,,156048.43443075,,61536.97,,90635.6,,3873.853,,0.32816025,,0.01746666666666667,,19.4006,,6.13007,,0.07054436,,0.14340848475694656,0.026047331898899538,0.04129337705671787,0.00018762459868034058,0.8245489001274109,0.004763521112398265
2003-09-19T10:53:00.000Z,33.493,-22.108,93.249,21.875755,,36609.0661461749,,9263.50349999999,,10602.40075,,16719.07,,1.216141175,,0.0046,,18.6348,,2.862769,,0.10732573,,0.3754677474498749,0.03803833157120357,0.05882480554282665,0.0023896920662532764,0.8930140137672424,0.022991021568995674
2003-09-19T10:53:00.000Z,33.493,-22.108,113.263,4780.21624999999,,8371.62388574999,,183.2839,,35.299625,,3367.66575,,4.15836075,,0.0004,,18.0071,,1.266391,,0.12938054,,,,,,,
2003-09-19T10:53:00.000Z,33.493,-22.108,122.933,3124.5165,,4588.7418675,,50.25314,,15.7010475,,1393.7655,,3.50568,,6.666666666666667e-05,,17.8377,,0.799615,,0.098996883,,1.894469976425171,,0.10119260847568512,,1.2514681816101074,
2003-09-19T10:53:00.000Z,33.493,-22.108,162.806,2126.70375,,2630.445304975,,19.1001675,,9.201956,,473.08415,,1.355281475,,0.0,,17.2987,,0.247846,,0.038959609,,,,,,,
2003-09-19T10:53:00.000Z,33.493,-22.108,203.545,41.9021225,,252.510657499999,,9.67117025,,9.011529,,190.663325,,0.26251075,,0.0002,,16.6523,,0.085595,,0.019999999,,3.941558361053467,,0.3449305295944214,,1.8966318368911743,
2003-09-20T10:50:00.000Z,29.357,-20.896,16.288,1.0,,72018.8922499999,,67042.9,,4971.99224999999,,1.0,,1.0,,0.02586666666666667,,24.9225,,39.959842,,0.02056823,,0.013926699291914701,0.00032337498792237436,0.06625289842486382,0.005229965553224393,0.5352489352226257,0.009142241497892068
2003-09-20T10:50:00.000Z,29.357,-20.896,32.071,1.0,,99486.7617499999,,92488.0524999999,,6994.70925,,1.0,,1.0,,0.02233333333333333,,24.6926,,22.188144,,0.018874481,,0.0031940718181431293,0.004517099684411704,0.06869075074791908,0.0037748877552342876,0.48433566093444824,0.0017868999363163743
2003-09-20T10:50:00.000Z,29.357,-20.896,50.316,1.0,,57604.282925,,29180.6725,,28418.375,,2.235425,,1.0,,0.01908787541713014,,20.8717,,11.664753,,0.030220699,,0.02044131001457572,0.007894508413873846,0.04729539342224598,0.00037088963271783554,0.538096159696579,0.01564992564221666
2003-09-20T10:50:00.000Z,29.357,-20.896,62.381,1.0,,111555.09861025,,44960.28,,66583.6075,,8.21111025,,1.0,,0.02106666666666667,,20.1874,,7.948361,,0.039999982,,0.009951023384928703,0.00045974177482387997,0.04770493321120739,0.002206895915905465,0.5631692111492157,0.008568159274325181
2003-09-20T10:50:00.000Z,29.357,-20.896,82.381,1.0,,97370.875975,,35519.0275,,61164.3425,,684.505975,,1.0,,0.02306666666666667,,18.8907,,4.084977,,0.060235994,,0.13947494700551033,0.061855931864838835,0.06659463047981262,0.004777608696513031,0.592719703912735,0.028471587015109778
2003-09-20T10:50:00.000Z,29.357,-20.896,102.498,284.3392,,35257.5309715,,14128.3635,,2342.4845,,18490.5525,,10.7912715,,0.0009333333333333333,,18.1615,,2.004634,,0.07998716,,0.7992860078811646,,0.07297562807798386,,0.8063400983810425,
2003-09-20T10:50:00.000Z,29.357,-20.896,112.767,1104.906725,,5998.92422375,,730.03315,,105.9379325,,4049.57975,,7.46666625,,0.0001333333333333333,,17.851,,1.457155,,0.12005538,,,,,,,
2003-09-20T10:50:00.000Z,29.357,-20.896,153.256,2099.93775,,2290.4868735,,18.29551675,,3.76108175,,166.492525,,1.0,,0.0001333333333333333,,17.2061,,0.360981,,0.049882552,,3.253357172012329,,0.140662282705307,,1.1559350490570068,
2003-09-20T10:50:00.000Z,29.357,-20.896,203.806,159.069325,,206.2529457,,39.4071725,,3.98008725,,1.79636095,,1.0,,0.0,,16.2062,,0.098554,,0.016093475,,5.101150989532471,,0.2681906223297119,,1.5321416854858398,
2003-09-21T10:52:00.000Z,25.085,-20.744,15.606,1.0,,151975.6980245,,146787.55,,5184.3525,,0.7955245,,1.0,,0.02626086956521739,,25.1187,,40.097381,,0.020004005,,0.001174028031527996,0.0016603263647930796,0.04837537184357643,0.0005547631618807065,0.29972340166568756,0.024752780910175298
